id,変換前(商品名/誤字),変換後(成分名)
307,レベチラセタム錠２５０ｍｇ「トーワ」,レベチラセタム
308,レベチラセタム錠２５０ｍｇ「日医工」,レベチラセタム
309,レベチラセタム錠２５０ｍｇ「日新」,レベチラセタム
310,レベチラセタム錠２５０ｍｇ「フェルゼン」,レベチラセタム
311,レベチラセタム錠２５０ｍｇ「明治」,レベチラセタム
312,レベチラセタム錠２５０ｍｇ「サンド」,レベチラセタム
313,イーケプラ錠５００ｍｇ,レベチラセタム
314,レベチラセタム錠５００ｍｇ「ＪＧ」,レベチラセタム
315,レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,レベチラセタム
316,レベチラセタム錠５００ｍｇ「アメル」,レベチラセタム
317,レベチラセタム錠５００ｍｇ「杏林」,レベチラセタム
318,レベチラセタム錠５００ｍｇ「サワイ」,レベチラセタム
319,レベチラセタム錠５００ｍｇ「タカタ」,レベチラセタム
320,レベチラセタム錠５００ｍｇ「トーワ」,レベチラセタム
321,レベチラセタム錠５００ｍｇ「日医工」,レベチラセタム
322,レベチラセタム錠５００ｍｇ「日新」,レベチラセタム
323,レベチラセタム錠５００ｍｇ「フェルゼン」,レベチラセタム
324,レベチラセタム錠５００ｍｇ「明治」,レベチラセタム
325,レベチラセタム錠５００ｍｇ「サンド」,レベチラセタム
326,レベチラセタム粒状錠２５０ｍｇ「サワイ」,レベチラセタム
327,レベチラセタム粒状錠５００ｍｇ「サワイ」,レベチラセタム
328,イーケプラドライシロップ５０％,レベチラセタム
329,レベチラセタムドライシロップ５０％「ＪＧ」,レベチラセタム
330,レベチラセタムドライシロップ５０％「ＹＤ」,レベチラセタム
331,レベチラセタムＤＳ５０％「杏林」,レベチラセタム
332,レベチラセタムＤＳ５０％「サワイ」,レベチラセタム
333,レベチラセタムＤＳ５０％「タカタ」,レベチラセタム
334,レベチラセタムＤＳ５０％「トーワ」,レベチラセタム
335,レベチラセタムドライシロップ５０％「日医工」,レベチラセタム
336,レベチラセタムドライシロップ５０％「日新」,レベチラセタム
337,レベチラセタムドライシロップ５０％「明治」,レベチラセタム
338,ディアコミットカプセル２５０ｍｇ,スチリペントール
339,ディアコミットドライシロップ分包２５０ｍｇ,スチリペントール
340,ディアコミットドライシロップ分包５００ｍｇ,スチリペントール
341,イノベロン錠１００ｍｇ,ルフィナミド
342,イノベロン錠２００ｍｇ,ルフィナミド
343,サブリル散分包５００ｍｇ,ビガバトリン
344,フィコンパ細粒１％,ペランパネル水和物
345,フィコンパ錠２ｍｇ,ペランパネル水和物
346,フィコンパ錠４ｍｇ,ペランパネル水和物
347,ビムパット錠５０ｍｇ,ラコサミド
348,ビムパット錠１００ｍｇ,ラコサミド
349,ビムパットドライシロップ１０％,ラコサミド
350,フィンテプラ内用液２．２ｍｇ／ｍＬ,フェンフルラミン塩酸塩
351,ブリィビアクト錠２５ｍｇ,ブリーバラセタム
352,ブリィビアクト錠５０ｍｇ,ブリーバラセタム
353,複合アレビアチン配合錠,フェニトイン・フェノバルビタール
354,ヒダントールＤ配合錠,フェニトイン・フェノバルビタール配合剤
355,ヒダントールＥ配合錠,フェニトイン・フェノバルビタール配合剤
356,ヒダントールＦ配合錠,フェニトイン・フェノバルビタール配合剤
357,アセトアミノフェン,アセトアミノフェン
358,アセトアミノフェン「ヨシダ」,アセトアミノフェン
359,アセトアミノフェン「ＪＧ」原末,アセトアミノフェン
360,オパイリン錠１２５ｍｇ,フルフェナム酸アルミニウム
361,オパイリン錠２５０ｍｇ,フルフェナム酸アルミニウム
362,ポンタール散５０％,メフェナム酸
363,ポンタール細粒９８．５％,メフェナム酸
364,ポンタールカプセル２５０ｍｇ,メフェナム酸
365,ポンタールシロップ３．２５％,メフェナム酸
366,アセトアミノフェン２０％細粒,アセトアミノフェン
367,カロナール細粒２０％,アセトアミノフェン
368,アセトアミノフェン細粒２０％「トーワ」,アセトアミノフェン
369,カロナール細粒５０％,アセトアミノフェン
370,アセトアミノフェン２００ｍｇ錠,アセトアミノフェン
371,カロナール錠２００,アセトアミノフェン
372,アセトアミノフェン錠２００ｍｇ「ＪＧ」,アセトアミノフェン
373,アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,アセトアミノフェン
374,カロナール錠３００,アセトアミノフェン
375,アセトアミノフェン錠３００ｍｇ「ＪＧ」,アセトアミノフェン
376,アセトアミノフェン錠３００ｍｇ「マルイシ」,アセトアミノフェン
377,アセトアミノフェン錠３００ｍｇ「ケンエー」,アセトアミノフェン
378,カロナール錠５００,アセトアミノフェン
379,アセトアミノフェン錠５００ｍｇ「マルイシ」,アセトアミノフェン
380,アセトアミノフェン錠５００ｍｇ「ケンエー」,アセトアミノフェン
381,アセトアミノフェン２％シロップ,アセトアミノフェン
382,アセトアミノフェンＤＳ小児用２０％「タカタ」,アセトアミノフェン
383,アセトアミノフェンＤＳ小児用２０％「トーワ」,アセトアミノフェン
384,アセトアミノフェンＤＳ小児用２０％「三和」,アセトアミノフェン
385,アセトアミノフェンＤＳ４０％「三和」,アセトアミノフェン
386,アスピリン「ケンエー」,アスピリン
387,アスピリン「ホエイ」,アスピリン
388,アスピリン（山善）,アスピリン
389,アスピリン「ヨシダ」,アスピリン
390,アスピリン原末「マルイシ」,アスピリン
391,エテンザミド,エテンザミド
392,イソプロピルアンチピリン,イソプロピルアンチピリン
393,スルピリン水和物,スルピリン水和物
394,ミグレニン,ミグレニン
395,インドメタシンカプセル,インドメタシン
396,ランツジールコーワ錠３０ｍｇ,アセメタシン
397,ミリダシン錠９０ｍｇ,プログルメタシンマレイン酸塩
398,インフリーカプセル１００ｍｇ,インドメタシン　ファルネシル
399,インフリーＳカプセル２００ｍｇ,インドメタシン　ファルネシル
400,ジクロフェナクナトリウム２５ｍｇ錠,ジクロフェナクナトリウム
401,ボルタレン錠２５ｍｇ,ジクロフェナクナトリウム
402,ナボールＳＲカプセル３７．５,ジクロフェナクナトリウム
403,ボルタレンＳＲカプセル３７．５ｍｇ,ジクロフェナクナトリウム
404,ソランタール錠５０ｍｇ,チアラミド塩酸塩
405,ソランタール錠１００ｍｇ,チアラミド塩酸塩
406,イブプロフェン２０％顆粒,イブプロフェン
407,ブルフェン顆粒２０％,イブプロフェン
408,ブルフェン錠１００,イブプロフェン
409,イブプロフェン錠１００ｍｇ「ＴＣＫ」,イブプロフェン
410,イブプロフェン錠１００ｍｇ「ＮＩＧ」,イブプロフェン
411,イブプロフェン２００ｍｇ錠,イブプロフェン
412,ブルフェン錠２００,イブプロフェン
413,ナイキサン錠１００ｍｇ,ナプロキセン
414,パラミヂンカプセル３００ｍｇ,ブコローム
415,フロベン顆粒８％,フルルビプロフェン
416,フロベン錠４０,フルルビプロフェン
417,ミグリステン錠２０,ジメトチアジンメシル酸塩
418,バキソカプセル１０,ピロキシカム
419,バキソカプセル２０,ピロキシカム
420,ロキソプロフェンナトリウム１０％細粒,ロキソプロフェンナトリウム水和物
421,ロキソニン細粒１０％,ロキソプロフェンナトリウム水和物
422,ロキソプロフェンナトリウム６０ｍｇ錠,ロキソプロフェンナトリウム水和物
423,ロキソニン錠６０ｍｇ,ロキソプロフェンナトリウム水和物
424,ロキソプロフェンＮａ錠６０ｍｇ「ツルハラ」,ロキソプロフェンナトリウム水和物
425,ノイロトロピン錠４単位,ワクシニアウイルス接種家兎炎症皮膚抽出液
426,アルボ錠１００ｍｇ,オキサプロジン
427,アルボ錠２００ｍｇ,オキサプロジン
428,レリフェン錠４００ｍｇ,ナブメトン
429,ザルトプロフェン８０ｍｇ錠,ザルトプロフェン
430,ソレトン錠８０,ザルトプロフェン
431,ペオン錠８０,ザルトプロフェン
432,アクタリット１００ｍｇ錠,アクタリット
433,モーバー錠１００ｍｇ,アクタリット
434,オークル錠１００ｍｇ,アクタリット
435,エトドラク１００ｍｇ錠,エトドラク
436,ハイペン錠１００ｍｇ,エトドラク
437,オステラック錠１００,エトドラク
438,エトドラク２００ｍｇ錠,エトドラク
439,ハイペン錠２００ｍｇ,エトドラク
440,オステラック錠２００,エトドラク
